Planet Name,    UT Start,    UT Stop, UT 1st Contact, UT 4th Contact, Err(min), Reason,Frac1,Frac2,V mag, J mag,H mag,K mag,Depth, B-V,Chart,Type
Kepler-1579 b, 2018/03/07 10:17, 2018/03/07 12:28, 2018/03/07 10:50, 2018/03/07 11:5,5     16.,5 N/A N/A,1,1, ----,- 13.44,12.86,12.74,0.0001, -----, Finder, P
Kepler-1027 b, 2018/03/07 10:33, 2018/03/07 12:51, 2018/03/07 11:29, 2018/03/07 13:2,0      6.,2 N/A SUN,0.744,0.622, ----,- 11.54,11.23,11.12,0.0001, -----, Finder, P
Kepler-1387 b, 2018/03/07 11:37, 2018/03/07 12:51, 2018/03/07 12:25, 2018/03/07 14:0,1     18.,6 N/A SUN,0.276,0.388, ----,- 13.06,12.57,12.51,0.0001, -----, Finder, P
Kepler-1173 b, 2018/03/07 12:10, 2018/03/07 12:51, 2018/03/07 12:41, 2018/03/07 13:4,2      7.,4 N/A SUN,0.175,0.337, ----,- 12.42,11.98,11.88,0.0001, -----, Finder, P
Kepler-780 b,2018/03/08 08:53,2018/03/08 09:49,2018/03/08 07:05,2018/03/08 08:54,8.8, OBJ N/A,0.011,0.255,-----,12.21,11.89,11.82,0.0001,-----,Finder,P
Kepler-1525 b, 2018/03/08 09:12, 2018/03/08 10:46, 2018/03/08 07:49, 2018/03/08 09:4,7     10.,5 OBJ N/A,0.301,0.401, ----,- 11.57,11.28,11.19,0.0001, -----, Finder, P
Kepler-929 b,2018/03/08 10:07,2018/03/08 11:40,2018/03/08 07:52,2018/03/08 10:24,16.3, OBJ N/A,0.116,0.308,-----,13.27,12.89,12.85,0.0001,-----,Finder,P
Kepler-1104 b, 2018/03/08 09:29, 2018/03/08 12:15, 2018/03/08 09:25, 2018/03/08 11:1,8     13.,1 OBJ N/A,0.964,0.732, ----,- 11.21,11.01,10.97,0.0001, -----, Finder, P
Kepler-1222 b, 2018/03/08 09:31, 2018/03/08 11:53, 2018/03/08 09:41, 2018/03/08 11:0,9     15.,2 OBJ N/A,1,0.81, ----,- 12.70,12.26,12.19,0.0001, -----, Finder, P
Kepler-1409 b, 2018/03/08 10:17, 2018/03/08 12:38, 2018/03/08 10:52, 2018/03/08 12:0,3     15.,0 N/A N/A,1,1, ----,- 13.78,13.3,13.25,0.0001, -----, Finder, P
Kepler-1340 b, 2018/03/08 11:27, 2018/03/08 12:50, 2018/03/08 12:19, 2018/03/08 14:0,3     11.,5 N/A SUN,0.297,0.399, ----,- 13.56,13.28,13.24,0.0001, -----, Finder, P
Kepler-1067 b, 2018/03/09 09:01, 2018/03/09 10:45, 2018/03/09 09:08, 2018/03/09 10:1,2     17.,0 OBJ N/A,1,0.8, ----,- 13.11,12.78,12.66,0.0001, -----, Finder, P
Kepler-1027 b, 2018/03/09 09:16, 2018/03/09 12:02, 2018/03/09 09:16, 2018/03/09 11:0,7      6.,2 OBJ N/A,0.997,0.748, ----,- 11.54,11.23,11.12,0.0001, -----, Finder, P
Kepler-770 c,2018/03/09 09:23,2018/03/09 12:49,2018/03/09 09:20,2018/03/09 11:40,13.6, OBJ SUN,0.981,0.738,-----,13.39,13.01,12.92,0.0001,-----,Finder,P
Kepler-1031 b, 2018/03/09 09:33, 2018/03/09 12:49, 2018/03/09 09:59, 2018/03/09 12:0,8     17.,7 OBJ SUN,1,0.761, ----,- 12.70,12.4,12.35,0.0001, -----, Finder, P
Kepler-1117 b, 2018/03/09 09:53, 2018/03/09 12:49, 2018/03/09 11:15, 2018/03/09 13:5,9     18.,6 N/A SUN,0.572,0.536, ----,- 12.87,12.51,12.46,0.0001, -----, Finder, P
Kepler-1559 b, 2018/03/09 11:57, 2018/03/09 12:49, 2018/03/09 12:45, 2018/03/09 14:2,3     18.,7 N/A SUN,0.035,0.268, ----,- 13.15,12.73,12.63,0.0001, -----, Finder, P
Kepler-1258 b, 2018/03/09 11:50, 2018/03/09 12:49, 2018/03/09 12:49, 2018/03/09 14:4,6     15.,4 N/A SUN,0.003,0.251, ----,- 12.76,12.39,12.38,0.0001, -----, Finder, P
Kepler-915 b,2018/03/10 09:16,2018/03/10 11:33,2018/03/10 07:17,2018/03/10 10:08,14.7, OBJ N/A,0.301,0.401,-----,12.35,12.1,12.04,0.0001,-----,Finder,P
Kepler-780 b,2018/03/10 08:45,2018/03/10 10:35,2018/03/10 07:51,2018/03/10 09:40,8.8, OBJ N/A,0.504,0.502,-----,12.21,11.89,11.82,0.0001,-----,Finder,P
Kepler-757 b,2018/03/10 09:52,2018/03/10 10:48,2018/03/10 08:48,2018/03/10 10:08,11.5, OBJ N/A,0.199,0.349,-----,13.5,13.16,13.04,0.0001,-----,Finder,P
Kepler-1055 b, 2018/03/10 09:18, 2018/03/10 11:50, 2018/03/10 09:22, 2018/03/10 11:0,1      7.,2 OBJ N/A,1,0.769, ----,- 11.96,11.63,11.57,0.0001, -----, Finder, P
Kepler-1081 b, 2018/03/10 10:00, 2018/03/10 12:48, 2018/03/10 11:00, 2018/03/10 12:5,9     12.,0 N/A SUN,0.905,0.702, ----,- 12.39,11.99,11.91,0.0001, -----, Finder, P
Kepler-1351 b, 2018/03/10 11:01, 2018/03/10 12:48, 2018/03/10 11:36, 2018/03/10 12:4,5     10.,0 N/A SUN,1,0.771, ----,- 12.22,11.57,11.47,0.0001, -----, Finder, P
Kepler-605 c,2018/03/10 10:50,2018/03/10 12:48,2018/03/10 11:39,2018/03/10 13:17,17.1, N/A SUN,0.704,0.602,-----,12.87,12.5,12.42,0.0001,-----,Finder,P
Kepler-1559 b, 2018/03/10 11:16, 2018/03/10 12:48, 2018/03/10 12:05, 2018/03/10 13:4,3     18.,7 N/A SUN,0.437,0.469, ----,- 13.15,12.73,12.63,0.0001, -----, Finder, P
Kepler-908 b,2018/03/10 11:23,2018/03/10 12:48,2018/03/10 12:11,2018/03/10 13:48,7, N/A SUN,0.376,0.438,-----,10.41,10.04,9.99,0.0001,-----,Finder,P
Kepler-1340 b, 2018/03/10 11:20, 2018/03/10 12:48, 2018/03/10 12:12, 2018/03/10 13:5,6     11.,6 N/A SUN,0.343,0.421, ----,- 13.56,13.28,13.24,0.0001, -----, Finder, P
Kepler-1258 b, 2018/03/10 11:28, 2018/03/10 12:48, 2018/03/10 12:27, 2018/03/10 14:2,4     15.,4 N/A SUN,0.177,0.339, ----,- 12.76,12.39,12.38,0.0001, -----, Finder, P
Kepler-160 b,2018/03/04 09:36,2018/03/04 11:48,2018/03/04 07:16,2018/03/04 10:17,18.6, OBJ N/A,0.226,0.363,-----,13.46,13.1,13.05,0,-----,Finder,P
Kepler-153 b,2018/03/04 09:00,2018/03/04 12:53,2018/03/04 08:16,2018/03/04 11:21,9.6, OBJ N/A,0.762,0.631,-----,12.95,12.48,12.42,0,-----,Finder,P
Kepler-194 b,2018/03/04 09:39,2018/03/04 11:52,2018/03/04 08:20,2018/03/04 10:41,18, OBJ N/A,0.438,0.469,-----,13.78,13.45,13.51,0,-----,Finder,P
Kepler-156 b,2018/03/04 09:59,2018/03/04 11:46,2018/03/04 09:24,2018/03/04 10:59,7.5, OBJ N/A,0.63,0.565,-----,12.73,12.26,12.15,0,-----,Finder,P
Kepler-360 c,2018/03/04 09:37,2018/03/04 12:26,2018/03/04 10:19,2018/03/04 11:43,19, N/A N/A,1,1,-----,13.64,13.3,13.23,0,-----,Finder,P
Kepler-107 c,2018/03/04 09:58,2018/03/04 12:55,2018/03/04 10:54,2018/03/04 15:06,15.3, OBJ SUN,0.479,0.35,-----,11.39,11.11,11.06,0,-----,Finder,P
Kepler-227 b,2018/03/04 09:38,2018/03/04 12:55,2018/03/04 11:02,2018/03/04 14:09,19.1, OBJ SUN,0.603,0.526,-----,14.08,13.75,13.65,0,-----,Finder,P
Kepler-322 b,2018/03/04 10:26,2018/03/04 12:55,2018/03/04 11:16,2018/03/04 12:56,17.1, N/A SUN,0.987,0.744,-----,12.25,11.87,11.84,0,-----,Finder,P
Kepler-198 b,2018/03/04 09:59,2018/03/04 12:55,2018/03/04 11:18,2018/03/04 15:47,9.1, OBJ SUN,0.361,0.328,-----,12.42,12.07,12.03,0,-----,Finder,P
 Kepler-49 d,2018/03/04 10:46,2018/03/04 12:55,2018/03/04 11:34,2018/03/04 13:10,5.4, N/A SUN,0.842,0.671,-----,13.18,12.49,12.38,0,-----,Finder,P
Kepler-360 b,2018/03/04 11:02,2018/03/04 12:55,2018/03/04 12:11,2018/03/04 14:30,17.2, N/A SUN,0.316,0.408,-----,13.64,13.3,13.23,0,-----,Finder,P
Kepler-1352 b, 2018/03/04 11:29, 2018/03/04 12:55, 2018/03/04 12:39, 2018/03/04 14:5,9     18.,7 N/A SUN,0.112,0.306, ----,- 12.25,11.96,11.92,0, -----, Finder, P
Kepler-211 c,2018/03/05 09:22,2018/03/05 10:58,2018/03/05 07:53,2018/03/05 09:57,12.3, OBJ N/A,0.278,0.389,-----,11.93,11.49,11.45,0,-----,Finder,P
Kepler-181 b,2018/03/05 09:45,2018/03/05 10:55,2018/03/05 08:05,2018/03/05 09:58,19.5, OBJ N/A,0.116,0.308,-----,13.36,12.95,12.88,0,-----,Finder,P
Kepler-314 c,2018/03/05 10:02,2018/03/05 12:47,2018/03/05 08:38,2018/03/05 11:24,4, OBJ N/A,0.493,0.496,-----,11.24,10.85,10.78,0,-----,Finder,P
Kepler-219 c,2018/03/05 09:26,2018/03/05 12:54,2018/03/05 10:21,2018/03/05 16:09,15.5, OBJ SUN,0.439,0.298,-----,12.68,12.4,12.39,0,-----,Finder,P
Kepler-190 c,2018/03/05 10:00,2018/03/05 12:54,2018/03/05 10:47,2018/03/05 12:19,11.3, N/A SUN,1,0.939,-----,12.73,12.28,12.23,0,-----,Finder,P
Kepler-444 c,2018/03/05 09:57,2018/03/05 12:54,2018/03/05 11:05,2018/03/05 13:21,7.4, N/A SUN,0.802,0.651,8.86,7.24,6.77,6.7,0,-----,Finder,P
Kepler-398 b,2018/03/05 10:12,2018/03/05 12:54,2018/03/05 11:21,2018/03/05 13:38,12.7, N/A SUN,0.678,0.589,-----,11.51,10.93,10.79,0,-----,Finder,P
Kepler-121 b,2018/03/05 11:14,2018/03/05 12:54,2018/03/05 11:58,2018/03/05 13:27,4.4, N/A SUN,0.624,0.562,-----,13.32,12.89,12.8,0,-----,Finder,P
Kepler-323 b,2018/03/05 10:51,2018/03/05 12:54,2018/03/05 12:02,2018/03/05 14:23,8.4, N/A SUN,0.367,0.433,-----,11.69,11.42,11.35,0,-----,Finder,P
Kepler-207 d,2018/03/06 09:39,2018/03/06 11:39,2018/03/06 05:42,2018/03/06 09:40,7.1, OBJ N/A,0.002,0.251,-----,12.1,11.84,11.8,0,-----,Finder,P
Kepler-323 c,2018/03/06 09:55,2018/03/06 11:28,2018/03/06 06:54,2018/03/06 09:57,10.6, OBJ N/A,0.009,0.255,-----,11.69,11.42,11.35,0,-----,Finder,P
Kepler-207 b,2018/03/06 09:39,2018/03/06 11:29,2018/03/06 06:59,2018/03/06 09:59,17.6, OBJ N/A,0.111,0.306,-----,12.1,11.84,11.8,0,-----,Finder,P
Kepler-165 b,2018/03/06 08:47,2018/03/06 11:45,2018/03/06 07:27,2018/03/06 10:19,14.7, OBJ N/A,0.537,0.519,-----,13.43,12.93,12.84,0,-----,Finder,P
Kepler-205 b,2018/03/06 09:21,2018/03/06 10:26,2018/03/06 07:31,2018/03/06 09:28,3.4, OBJ N/A,0.055,0.277,-----,11.61,10.96,10.83,0,-----,Finder,P
Kepler-129 b,2018/03/06 09:05,2018/03/06 12:52,2018/03/06 08:01,2018/03/06 15:18,20, OBJ SUN,0.521,0.261,-----,10.6,10.32,10.25,0,-----,Finder,P
Kepler-326 d,2018/03/06 09:46,2018/03/06 10:58,2018/03/06 08:31,2018/03/06 10:09,16, OBJ N/A,0.23,0.365,-----,12.23,11.78,11.67,0,-----,Finder,P
Kepler-1087 b, 2018/03/06 09:49, 2018/03/06 11:33, 2018/03/06 09:16, 2018/03/06 10:4,7     11.,0 OBJ N/A,0.642,0.571, ----,- 11.66,11.31,11.21,0, -----, Finder, P
Kepler-398 c,2018/03/06 09:50,2018/03/06 12:52,2018/03/06 09:41,2018/03/06 13:02,19.4, OBJ SUN,0.911,0.456,-----,11.51,10.93,10.79,0,-----,Finder,P
Kepler-1352 b, 2018/03/06 09:24, 2018/03/06 12:52, 2018/03/06 09:43, 2018/03/06 12:0,3     18.,8 OBJ SUN,1,0.747, ----,- 12.25,11.96,11.92,0, -----, Finder, P
 Kepler-75 b,2018/03/06 09:58,2018/03/06 12:35,2018/03/06 09:46,2018/03/06 11:38,1.1, OBJ N/A,0.896,0.698,-----,13.66,13.26,13.12,0,-----,Finder,P
Kepler-164 c,2018/03/06 09:15,2018/03/06 12:52,2018/03/06 10:02,2018/03/06 13:02,12.3, OBJ SUN,0.947,0.602,-----,13.25,13.01,12.94,0,-----,Finder,P
Kepler-194 b,2018/03/06 09:31,2018/03/06 12:52,2018/03/06 10:33,2018/03/06 12:54,18, OBJ SUN,0.99,0.713,-----,13.78,13.45,13.51,0,-----,Finder,P
Kepler-138 b,2018/03/06 10:09,2018/03/06 12:52,2018/03/06 11:06,2018/03/06 13:01,16.4, N/A SUN,0.923,0.712,-----,10.29,9.68,9.51,0,-----,Finder,P
Kepler-220 c,2018/03/06 11:47,2018/03/06 12:52,2018/03/06 12:32,2018/03/06 14:01,4.6, N/A SUN,0.233,0.367,-----,11.21,10.67,10.55,0,-----,Finder,P
Kepler-222 c,2018/03/06 11:41,2018/03/06 12:52,2018/03/06 12:32,2018/03/06 14:15,5.1, N/A SUN,0.195,0.347,-----,13.72,13.34,13.23,0,-----,Finder,P
Kepler-322 c,2018/03/06 11:24,2018/03/06 12:52,2018/03/06 12:38,2018/03/06 15:05,9.8, N/A SUN,0.1,0.3,-----,12.25,11.87,11.84,0,-----,Finder,P
Kepler-653 c,2018/03/06 12:10,2018/03/06 12:52,2018/03/06 12:51,2018/03/06 14:15,19.4, N/A SUN,0.014,0.257,-----,12.19,11.87,11.79,0,-----,Finder,P
Kepler-197 b,2018/03/07 09:32,2018/03/07 12:49,2018/03/07 07:17,2018/03/07 10:58,19.1, OBJ N/A,0.389,0.445,-----,10.81,10.58,10.54,0,-----,Finder,P
Kepler-235 b,2018/03/07 09:27,2018/03/07 10:48,2018/03/07 07:55,2018/03/07 09:50,7, OBJ N/A,0.202,0.351,-----,13.95,13.28,13.12,0,-----,Finder,P
Kepler-119 b,2018/03/07 09:58,2018/03/07 11:52,2018/03/07 08:01,2018/03/07 10:35,1.9, OBJ N/A,0.242,0.371,-----,13,12.64,12.58,0,-----,Finder,P
Kepler-114 b,2018/03/07 09:35,2018/03/07 11:44,2018/03/07 08:05,2018/03/07 10:31,10.9, OBJ N/A,0.383,0.442,-----,12.04,11.47,11.37,0,-----,Finder,P
Kepler-1141 b, 2018/03/07 09:22, 2018/03/07 10:43, 2018/03/07 08:37, 2018/03/07 10:0,1     11.,0 OBJ N/A,0.466,0.483, ----,- 11.34,11.04,10.97,0, -----, Finder, P
 Kepler-55 d,2018/03/07 09:11,2018/03/07 11:45,2018/03/07 09:17,2018/03/07 10:56,8.4, OBJ N/A,1,0.779,-----,13.97,13.36,13.29,0,-----,Finder,P
Kepler-137 b,2018/03/07 09:02,2018/03/07 12:51,2018/03/07 09:38,2018/03/07 12:51,9.9, OBJ SUN,1,0.595,-----,11.65,11.23,11.16,0,-----,Finder,P
Kepler-369 b,2018/03/07 09:34,2018/03/07 11:21,2018/03/07 09:48,2018/03/07 10:50,14.4, OBJ N/A,1,0.857,-----,13.25,12.59,12.39,0,-----,Finder,P
Kepler-215 d,2018/03/07 09:47,2018/03/07 12:51,2018/03/07 09:55,2018/03/07 12:38,13.8, OBJ SUN,1,0.565,-----,12.42,12.06,12,0,-----,Finder,P
Kepler-653 c,2018/03/07 09:46,2018/03/07 12:33,2018/03/07 10:28,2018/03/07 11:51,19.4, N/A N/A,1,1,-----,12.19,11.87,11.79,0,-----,Finder,P
Kepler-120 b,2018/03/07 09:49,2018/03/07 12:51,2018/03/07 11:17,2018/03/07 14:11,6, N/A SUN,0.543,0.521,-----,13.02,12.42,12.31,0,-----,Finder,P
Kepler-146 b,2018/03/07 10:00,2018/03/07 12:51,2018/03/07 11:50,2018/03/07 17:02,11.8, OBJ SUN,0.196,0.274,-----,12.74,12.47,12.47,0,-----,Finder,P
Kepler-258 b,2018/03/07 10:23,2018/03/07 12:51,2018/03/07 12:06,2018/03/07 15:31,6.7, N/A SUN,0.223,0.362,-----,13.56,13.09,12.96,0,-----,Finder,P
 Kepler-83 d,2018/03/07 11:11,2018/03/07 12:51,2018/03/07 12:15,2018/03/07 14:25,14.4, N/A SUN,0.277,0.388,-----,13.74,13.08,12.95,0,-----,Finder,P
Kepler-140 b,2018/03/07 11:02,2018/03/07 12:51,2018/03/07 12:31,2018/03/07 15:30,11.4, N/A SUN,0.113,0.306,-----,11.99,11.76,11.71,0,-----,Finder,P
Kepler-111 b,2018/03/08 09:31,2018/03/08 10:57,2018/03/08 06:48,2018/03/08 09:34,8.4, OBJ N/A,0.015,0.257,-----,12.41,12.11,12.11,0,-----,Finder,P
Kepler-217 b,2018/03/08 09:32,2018/03/08 12:50,2018/03/08 07:36,2018/03/08 11:37,16.5, OBJ SUN,0.517,0.411,-----,12.32,12.18,12.1,0,-----,Finder,P
Kepler-653 c,2018/03/08 08:48,2018/03/08 10:10,2018/03/08 08:04,2018/03/08 09:28,19.4, OBJ N/A,0.478,0.489,-----,12.19,11.87,11.79,0,-----,Finder,P
Kepler-126 b,2018/03/08 09:23,2018/03/08 12:50,2018/03/08 09:22,2018/03/08 14:11,12.4, OBJ SUN,0.716,0.358,-----,9.62,9.41,9.34,0,-----,Finder,P
Kepler-316 b,2018/03/08 09:29,2018/03/08 12:13,2018/03/08 10:08,2018/03/08 11:31,12.6, OBJ N/A,1,0.982,-----,13.32,12.68,12.54,0,-----,Finder,P
Kepler-179 b,2018/03/08 09:51,2018/03/08 12:50,2018/03/08 10:27,2018/03/08 12:26,13.6, OBJ SUN,1,0.753,-----,13.28,12.87,12.75,0,-----,Finder,P
Kepler-185 b,2018/03/08 10:18,2018/03/08 12:50,2018/03/08 11:05,2018/03/08 12:38,14.4, N/A SUN,1,0.814,-----,13.05,12.59,12.52,0,-----,Finder,P
Kepler-218 b,2018/03/08 09:42,2018/03/08 12:50,2018/03/08 11:12,2018/03/08 14:13,14.3, OBJ SUN,0.542,0.52,-----,12.73,12.39,12.31,0,-----,Finder,P
Kepler-1087 b, 2018/03/08 10:28, 2018/03/08 12:50, 2018/03/08 11:13, 2018/03/08 12:4,5     11.,1 N/A SUN,1,0.779, ----,- 11.66,11.31,11.21,0, -----, Finder, P
Kepler-181 b,2018/03/08 10:27,2018/03/08 12:50,2018/03/08 11:24,2018/03/08 13:17,19.5, N/A SUN,0.764,0.632,-----,13.36,12.95,12.88,0,-----,Finder,P
Kepler-135 b,2018/03/08 09:42,2018/03/08 12:50,2018/03/08 11:25,2018/03/08 15:22,12.4, OBJ SUN,0.36,0.397,-----,11.72,11.51,11.46,0,-----,Finder,P
Kepler-326 b,2018/03/08 10:42,2018/03/08 12:50,2018/03/08 11:44,2018/03/08 13:48,8.4, N/A SUN,0.531,0.515,-----,12.23,11.78,11.67,0,-----,Finder,P
Kepler-195 b,2018/03/08 10:56,2018/03/08 12:50,2018/03/08 12:30,2018/03/08 15:39,11.2, N/A SUN,0.106,0.303,-----,13.53,13.05,12.96,0,-----,Finder,P
Kepler-194 b,2018/03/08 11:35,2018/03/08 12:50,2018/03/08 12:46,2018/03/08 15:07,18, N/A SUN,0.031,0.266,-----,13.78,13.45,13.51,0,-----,Finder,P
Kepler-126 d,2018/03/09 09:19,2018/03/09 12:49,2018/03/09 02:19,2018/03/09 13:09,11.5, OBJ SUN,0.322,0.161,-----,9.62,9.41,9.34,0,-----,Finder,P
Kepler-192 c,2018/03/09 09:10,2018/03/09 12:49,2018/03/09 06:46,2018/03/09 11:43,16.7, OBJ SUN,0.515,0.369,-----,12.89,12.51,12.43,0,-----,Finder,P
Kepler-304 b,2018/03/09 09:49,2018/03/09 10:46,2018/03/09 08:04,2018/03/09 09:52,2.9, OBJ N/A,0.024,0.262,-----,13.24,12.75,12.63,0,-----,Finder,P
Kepler-107 c,2018/03/09 09:39,2018/03/09 12:49,2018/03/09 08:32,2018/03/09 12:44,15.3, OBJ SUN,0.735,0.377,-----,11.39,11.11,11.06,0,-----,Finder,P
Kepler-148 b,2018/03/09 09:14,2018/03/09 11:19,2018/03/09 08:41,2018/03/09 10:27,10.9, OBJ N/A,0.69,0.595,-----,13.9,13.53,13.36,0,-----,Finder,P
Kepler-156 b,2018/03/09 09:40,2018/03/09 11:08,2018/03/09 08:46,2018/03/09 10:21,7.5, OBJ N/A,0.431,0.466,-----,12.73,12.26,12.15,0,-----,Finder,P
Kepler-155 b,2018/03/09 08:56,2018/03/09 12:22,2018/03/09 08:49,2018/03/09 11:11,6.3, OBJ N/A,0.952,0.726,-----,12.53,11.89,11.8,0,-----,Finder,P
Kepler-257 b,2018/03/09 09:46,2018/03/09 11:35,2018/03/09 08:52,2018/03/09 10:41,11.7, OBJ N/A,0.504,0.502,-----,13.92,13.45,13.37,0,-----,Finder,P
Kepler-304 c,2018/03/09 09:49,2018/03/09 10:33,2018/03/09 08:53,2018/03/09 10:00,6.2, OBJ N/A,0.156,0.328,-----,13.24,12.75,12.63,0,-----,Finder,P
Kepler-216 b,2018/03/09 09:32,2018/03/09 12:49,2018/03/09 08:53,2018/03/09 13:56,18.8, OBJ SUN,0.651,0.326,-----,12.96,12.7,12.62,0,-----,Finder,P
Kepler-327 c,2018/03/09 09:33,2018/03/09 12:26,2018/03/09 09:14,2018/03/09 11:22,17.2, OBJ N/A,0.854,0.677,-----,12.79,12.11,11.96,0,-----,Finder,P
Kepler-322 b,2018/03/09 09:30,2018/03/09 12:49,2018/03/09 10:20,2018/03/09 12:01,17.2, N/A SUN,1,0.991,-----,12.25,11.87,11.84,0,-----,Finder,P
Kepler-107 e,2018/03/09 09:39,2018/03/09 12:49,2018/03/09 10:28,2018/03/09 17:03,10.8, OBJ SUN,0.356,0.241,-----,11.39,11.11,11.06,0,-----,Finder,P
Kepler-225 c,2018/03/09 09:22,2018/03/09 12:49,2018/03/09 10:50,2018/03/09 14:07,18.8, OBJ SUN,0.605,0.527,-----,14.03,13.34,13.25,0,-----,Finder,P
Kepler-152 b,2018/03/09 09:15,2018/03/09 12:49,2018/03/09 10:50,2018/03/09 14:36,5.8, OBJ SUN,0.526,0.474,-----,12.85,12.49,12.3,0,-----,Finder,P
Kepler-127 c,2018/03/09 08:58,2018/03/09 12:49,2018/03/09 11:47,2018/03/09 18:54,11.4, OBJ SUN,0.145,0.271,-----,10.54,10.3,10.23,0,-----,Finder,P
Kepler-229 b,2018/03/09 10:51,2018/03/09 12:49,2018/03/09 12:10,2018/03/09 14:48,15.6, N/A SUN,0.246,0.373,-----,14.36,13.87,13.79,0,-----,Finder,P
Kepler-207 b,2018/03/09 10:52,2018/03/09 12:49,2018/03/09 12:21,2018/03/09 15:21,17.6, N/A SUN,0.153,0.326,-----,12.1,11.84,11.8,0,-----,Finder,P
Kepler-326 c,2018/03/09 11:30,2018/03/09 12:49,2018/03/09 12:34,2018/03/09 14:43,10.3, N/A SUN,0.113,0.306,-----,12.23,11.78,11.67,0,-----,Finder,P
Kepler-184 b,2018/03/10 09:29,2018/03/10 11:08,2018/03/10 06:19,2018/03/10 09:32,10.9, OBJ N/A,0.015,0.257,-----,13.1,12.75,12.69,0,-----,Finder,P
Kepler-107 b,2018/03/10 09:35,2018/03/10 11:35,2018/03/10 06:20,2018/03/10 09:50,16.3, OBJ N/A,0.071,0.286,-----,11.39,11.11,11.06,0,-----,Finder,P
Kepler-139 b,2018/03/10 08:49,2018/03/10 12:48,2018/03/10 06:43,2018/03/10 11:48,10.9, OBJ SUN,0.588,0.393,-----,11.53,11.22,11.17,0,-----,Finder,P
Kepler-241 b,2018/03/10 09:38,2018/03/10 12:11,2018/03/10 07:31,2018/03/10 10:38,12.8, OBJ N/A,0.321,0.41,-----,13.61,13.06,12.88,0,-----,Finder,P
Kepler-910 b,2018/03/10 09:46,2018/03/10 12:33,2018/03/10 07:37,2018/03/10 10:54,17.9, OBJ N/A,0.346,0.423,-----,10.63,10.38,10.33,0,-----,Finder,P
Kepler-208 b,2018/03/10 09:38,2018/03/10 12:48,2018/03/10 08:09,2018/03/10 11:28,19.8, OBJ SUN,0.553,0.478,-----,12.55,12.31,12.21,0,-----,Finder,P
Kepler-179 c,2018/03/10 09:43,2018/03/10 11:11,2018/03/10 08:25,2018/03/10 10:15,12.3, OBJ N/A,0.296,0.398,-----,13.28,12.87,12.75,0,-----,Finder,P
Kepler-319 b,2018/03/10 09:25,2018/03/10 11:59,2018/03/10 08:41,2018/03/10 10:53,9.8, OBJ N/A,0.669,0.585,-----,12.63,12.31,12.21,0,-----,Finder,P
Kepler-249 b,2018/03/10 09:47,2018/03/10 12:21,2018/03/10 09:42,2018/03/10 11:28,14.2, OBJ N/A,0.949,0.725,-----,12.84,12.15,11.97,0,-----,Finder,P
Kepler-157 b,2018/03/10 09:36,2018/03/10 12:48,2018/03/10 09:49,2018/03/10 12:01,16.3, OBJ SUN,1,0.73,-----,12.94,12.63,12.57,0,-----,Finder,P
Kepler-120 c,2018/03/10 09:22,2018/03/10 12:48,2018/03/10 10:18,2018/03/10 13:45,16.2, OBJ SUN,0.726,0.496,-----,13.02,12.42,12.31,0,-----,Finder,P
Kepler-169 e,2018/03/10 09:22,2018/03/10 12:48,2018/03/10 10:49,2018/03/10 13:44,11.5, N/A SUN,0.677,0.588,-----,12.73,12.28,12.19,0,-----,Finder,P
Kepler-169 b,2018/03/10 11:13,2018/03/10 12:48,2018/03/10 12:17,2018/03/10 14:25,18.9, N/A SUN,0.243,0.372,-----,12.73,12.28,12.19,0,-----,Finder,P
Kepler-126 c,2018/03/10 09:59,2018/03/10 12:48,2018/03/10 12:43,2018/03/10 18:12,17.7, N/A SUN,0.014,0.257,-----,9.62,9.41,9.34,0,-----,Finder,P
